category,total,Argentina,Australia,Brazil,Chile,China,Taiwan,Colombia,Ecuador,Palestine,Germany,Hong Kong,India,Iraq,Japan,South Korea,Mexico,Morocco,Netherlands,New Zealand,Pakistan,Peru,Philippines,Poland,Romania,Spain,Sweden,Thailand,Egypt,United States,Uruguay
Very important,42.2,24.1,14.1,51.5,23.8,2.6,17.7,58.9,67.1,87.5,13.1,12.1,67.1,84.7,5.4,25.7,58.4,88.9,10.7,18.7,89.5,49.9,85.9,45.7,50.5,10.7,7.9,56.6,94.1,40.4,20.3
Rather important,21.6,32.1,17,37.9,35.1,8,35,26.5,20.8,9.4,24.9,21.3,24.2,12.8,13.6,28.5,25.4,9.8,14.5,17.4,8,30.3,12.2,33.9,33.3,21.3,18.3,31.1,5.7,28,18.3
Not very important,18.6,24.7,27.9,7.3,27.3,29.6,37.2,11.1,9.5,2.3,36.1,43.8,5.5,2.3,33.2,26.1,11.2,0.8,28.9,27.9,1.2,15.7,1.6,15.1,12.7,31.2,38.5,9.5,0,18.2,30.1
Not at all important,15.6,17.8,37.4,3.2,13,49.8,8.6,3.5,2.7,0.7,25.6,22.6,1.8,0.2,34.3,18.5,5,0.2,43.8,30.7,0.6,2.8,0.3,4.8,3.2,35.9,34.3,2.3,0.1,12.7,30.6
"BH,HT: Missing; RU:Inappropriate response",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
No answer,0.4,0.7,3.7,0.1,0.7,0.8,0,0.1,0,0,0.1,0.2,0,0,0,1.2,0,0.1,0,4.4,0.5,0.7,0,0.1,0.1,0.6,0.7,0,0,0.7,0.5
Don't know,1.6,0.7,0,0.1,0.1,9.2,1.5,0,0,0.1,0.2,0,1.4,0,13.5,0,0,0.1,2.1,1,0.2,0.5,0,0.4,0.3,0.3,0.4,0.2,0,0,0.2
(N),44.584,1.03,1.477,1.486,1,2.3,1.238,1.512,1.202,1,2.046,1,4.078,1.2,2.443,1.2,2,1.2,1.902,841,1.2,1.21,1.2,966,1.503,1.189,1.206,1.2,1.523,2.232,1
