category,total,Argentina,Australia,Brazil,Chile,China,Taiwan,Colombia,Ecuador,Palestine,Germany,Hong Kong,India,Iraq,Japan,South Korea,Mexico,Morocco,Netherlands,New Zealand,Pakistan,Peru,Philippines,Poland,Romania,Spain,Sweden,Thailand,Egypt,United States,Uruguay
Very important,90.8,88.9,92.5,87.4,91.7,85.7,90.9,85.1,98.6,95.7,77.6,85.1,94.9,92.9,90.8,91.3,97.6,90.7,85.5,92.9,94,85.3,98.8,92.1,93.1,91.1,89.2,88.6,97.4,90.9,88.7
Rather important,7.7,10.2,6.1,11.3,7.1,12.8,7.9,14.4,1,3.6,17.9,12.5,4.3,6.4,6.8,7.6,1.7,8.5,8.8,4.9,5.6,14.1,1.1,6.4,5.5,8.4,9,9.4,2.2,7.3,9.9
Not very important,0.8,0.4,0.6,1,1,0.5,0.6,0.3,0.1,0.6,3.6,1.9,0.3,0.5,0.6,0.5,0.8,0.3,2.3,0.7,0.3,0.7,0.1,0.3,1.1,0.2,1.3,1.3,0.5,0.8,0.6
Not at all important,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.3,0,0.6,0.3,0,0.2,0.2,0.3,0,0.3,1.3,0,0,0,0,0.3,0.2,0.2,0.2,0.4,0,0.6,0.7
"BH,HT: Missing; AR,DE,SE: Inapplicable;RU: Inappropriate response",0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0,0,0
No answer,0.1,0.2,0.5,0.1,0,0.7,0,0,0,0.1,0,0.2,0,0,0,0.2,0,0.2,0,1.5,0.1,0,0,0.2,0.1,0.1,0,0,0,0.4,0
Don´t know,0.3,0,0,0,0,0.3,0.5,0,0,0,0.1,0,0.4,0,1.6,0,0,0,2.2,0,0,0,0,0.6,0.1,0,0,0.2,0,0,0.1
(N),44.584,1.03,1.477,1.486,1,2.3,1.238,1.512,1.202,1,2.046,1,4.078,1.2,2.443,1.2,2,1.2,1.902,841,1.2,1.21,1.2,966,1.503,1.189,1.206,1.2,1.523,2.232,1
