category,total,Argentina,Australia,Brazil,Chile,China,Taiwan,Colombia,Ecuador,Palestine,Germany,Hong Kong,India,Iraq,Japan,South Korea,Mexico,Morocco,Netherlands,New Zealand,Pakistan,Peru,Philippines,Poland,Romania,Spain,Sweden,Thailand,Egypt,United States,Uruguay
Very important,35.9,33.7,41,32.8,56.1,21.2,35.5,49.4,55.9,27.7,31.6,33.5,34.9,16.8,42.3,30.8,59.2,16.9,40.4,47.8,16.5,37,11.7,35,34.1,44.8,53.6,26.4,21.1,38.9,48.9
Rather important,43.5,43,48.3,54.6,34.1,48.6,48.8,36.2,30.6,41.9,55.8,53.5,35.2,42.2,46.1,55.8,26.6,29.8,52.6,41.3,37.2,36.4,43.3,50.5,44.4,46.3,41.3,51,39.8,51.6,37.8
Not very important,15.6,18.7,7,10.4,7.6,24.4,12.7,12.5,11.5,23,11.4,11.9,19.1,31.4,8.3,10.9,11.7,28,5.7,7,35.6,22.5,32.8,11.6,17,7.6,3.5,17.7,30.8,8,10.4
Not at all important,3.6,3.9,0.6,1.8,1.4,1.7,1.2,1.7,1.9,6.3,1,0.6,9,8.8,0.5,1,2.5,18.6,0.2,0.1,9.4,2.5,11.9,1.2,4,0.3,0.5,3.7,8.3,0.9,1.6
"AR,DE,SE: Inapplicable;RU: Inappropriate response",0.1,0,0,0,0,0,0,0,0,0.3,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.4,0,0,0
No answer,0.5,0.6,3.1,0.1,0.4,1.3,0.1,0,0,0,0,0.5,0,0,0,1.5,0,3.2,0,3.7,0.5,1,0,0,0.2,0.6,0.4,0.2,0,0.6,0.7
Don´t know,0.8,0,0,0.3,0.4,2.7,1.7,0.1,0.1,0.8,0.1,0,1.8,0.5,2.8,0,0,3.5,1,0.1,0.9,0.6,0.2,1.6,0.3,0.3,0,0.5,0,0,0.6
(N),44.584,1.03,1.477,1.486,1,2.3,1.238,1.512,1.202,1,2.046,1,4.078,1.2,2.443,1.2,2,1.2,1.902,841,1.2,1.21,1.2,966,1.503,1.189,1.206,1.2,1.523,2.232,1
