category,total,Argentina,Australia,Brazil,Chile,China,Taiwan,Colombia,Ecuador,Palestine,Germany,Hong Kong,India,Iraq,Japan,South Korea,Mexico,Morocco,Netherlands,New Zealand,Pakistan,Peru,Philippines,Poland,Romania,Spain,Sweden,Thailand,Egypt,United States,Uruguay
Very important,59.3,57.4,30.2,63.6,56.3,38.1,60.2,76.3,88.5,64.6,39.4,31.5,77.3,66,52.1,60.8,87,82.5,29.5,35,72.8,69.1,90.5,64.2,55.9,62.4,50.3,66.6,61,35.6,63.7
Rather important,28.8,29.8,51.4,34.2,32.5,41.5,29.9,22.1,7.3,19.7,40.5,48.5,16.8,24.8,32.1,29.8,8.5,12.7,49.1,46.1,17.3,25.6,7.5,25,34.3,22.3,34.6,25.4,21.3,44.3,26
Not very important,6.6,7,8.6,1.3,5.8,13.3,6.2,0.9,2.8,8.9,9.9,15.1,2.5,6.8,8.4,4.8,2.8,2.6,12.4,8.1,4.9,3.2,1.4,4,6.4,7.8,7.5,5.4,9.7,12.9,4.8
Not at all important,3.3,4.4,5.9,0.6,2.9,2.7,2.5,0.7,1.3,3.9,7,4.7,1.7,2.3,1.9,3.4,1.7,1.5,5.2,5,3.2,0.6,0.4,3.8,2.8,6.3,2.5,1.9,8,6.6,4.5
"BH,HT: Missing; AR,DE,PS,SE: Inapplicable;RU: Inappropriate response",0.3,0,0,0,0,0,0,0,0,1.5,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0.5,0,0,0
Not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
No answer,0.6,0.9,3.9,0,1.4,1.5,0.1,0.1,0,0,0.1,0.2,0,0,0,1.2,0,0.7,0,5.2,0.9,1.3,0,1.1,0.2,0.8,0.1,0.1,0,0.6,0.3
Don´t know,1,0.4,0,0.2,1.1,2.9,1.1,0.1,0,1.4,0.1,0,1.7,0.2,5.4,0,0,0.1,3.8,0.6,0.8,0.3,0.1,1.8,0.3,0.4,0.3,0.1,0,0,0.7
(N),44.584,1.03,1.477,1.486,1,2.3,1.238,1.512,1.202,1,2.046,1,4.078,1.2,2.443,1.2,2,1.2,1.902,841,1.2,1.21,1.2,966,1.503,1.189,1.206,1.2,1.523,2.232,1
