category,total,Argentina,Australia,Brazil,Chile,China,Taiwan,Colombia,Germany,India,Japan,South Korea,Mexico,New Zealand,Pakistan,Peru,Philippines,Poland,Romania,Spain,Sweden,United States,Uruguay
Very important,13.2,10.1,15,21.8,6.9,23.7,10.9,12.4,10.9,10.9,18.3,19.2,17.2,7,7.7,13.1,14.6,6.9,6.9,7.8,11,17.8,13.8
Rather important,27.7,20.5,34.4,28.3,13,35.3,31,13.5,39.7,21.8,42.8,45.6,27.3,34.7,12.4,22.7,34,23.2,17.6,15.3,36.2,40.4,21.7
Not very important,34.2,31.7,35.8,22.1,35,27.4,42.4,40,39,33.5,29.3,28.2,35.4,41.1,19,36.4,31.1,37.4,37.3,32.1,41,31.9,31.4
Not at all important,22.5,36.7,14,25.4,42.8,7.4,10.6,33.7,9.5,30.6,3.4,5.8,18.3,11.7,56.3,22.1,19.4,30.4,36.5,42.7,11.6,8.8,31.2
NA,0.2,0,0,0,0,0,0.1,0,0,0,0,0.2,0,4.2,0,0,0,0,0,0,0,0,0
DK,2.2,0.9,0.8,2.4,2.3,6.2,4.9,0.4,0.9,3.1,6.2,1,1.9,1.3,4.6,5.6,0.9,2.1,1.7,2.1,0.2,1,1.9
(N),29.923,1.079,2.048,1.143,1,1.5,780,2.996,2.026,2.04,1.054,1.249,1.51,1.201,733,1.211,1.2,1.153,1.239,1.211,1.009,1.542,1
