category,total,Argentina,Australia,Brazil,Chile,China,Taiwan,Colombia,Germany,India,Japan,South Korea,Mexico,New Zealand,Pakistan,Peru,Philippines,Poland,Romania,Spain,Sweden,United States,Uruguay
Very important,36.4,34.9,23.1,64.5,41.8,3.9,12.6,54.3,10.8,48.2,6.4,19.8,45.4,19,80.5,53.3,78.3,46.4,37.5,25.2,9.5,55.9,22.8
Rather important,26,31.1,24.6,24.8,31.3,10.3,35.1,29.3,16.2,29.5,14.9,30.8,33.2,19.2,14.1,28.4,19.5,36.3,37.6,32.5,19.7,26.2,26.1
Not very important,21.7,21.3,32.2,7.7,19,30.8,44.7,13.3,30.2,13.9,38.3,32.6,17.1,26.4,5.3,12.9,1.8,13,17.8,27.8,42.6,12.4,30.3
Not at all important,13.9,11.8,19.2,2.8,5.6,44,6,2.9,41.7,7,31.7,15.7,3,30.2,0.1,2.2,0.2,3.2,4.8,13.9,27.2,5.2,19.3
NA,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,3.8,0,0,0,0,0,0,0,0,0
DK,1.8,0.9,0.8,0.2,2.2,11.1,1.5,0.2,1.1,1.4,8.7,1,1.3,1.3,0,3.2,0.2,1,2.2,0.7,1,0.4,1.5
(N),29.923,1.079,2.048,1.143,1,1.5,780,2.996,2.026,2.04,1.054,1.249,1.51,1.201,733,1.211,1.2,1.153,1.239,1.211,1.009,1.542,1
