category,total,Argentina,Chile,China,India,Iraq,Japan,South Korea,Mexico,Morocco,Pakistan,Peru,Philippines,Spain,Sweden,Egypt,United States
Very important,70.1,73.4,74.8,49,76.5,85.2,46.6,62.3,86.1,89,60.3,68.2,93.4,55.5,54.1,71.5,53.6
Rather important,23,22.2,19.5,42.5,17.5,10.6,37.6,30.5,10.1,7.4,32.6,29.2,5.6,33.9,36.5,18.7,35.8
Not very important,4.3,2.6,2.9,6,2.9,2,9,5.1,1.9,2.2,4.8,1.9,0.7,6.3,5.6,7.7,7
Not at all important,1.5,1.2,1.4,1.1,1.5,1.2,1.8,2.1,1,0.4,1.6,0,0.3,3.7,3.3,1.5,3.3
No answer,0.1,0,0,1.4,0,0.5,0,0,0,0,0,0,0,0,0,0,0
Don´t know,0.9,0.7,1.4,0,1.5,0.6,4.9,0.1,0.9,0.9,0.6,0.7,0,0.7,0.6,0.6,0.3
(N),24.279,1.28,1.2,1,2.002,2.325,1.362,1.2,1.535,1.251,2,1.501,1.2,1.209,1.014,3,1.2
