category,total,Argentina,Chile,China,India,Iraq,Japan,South Korea,Mexico,Morocco,Pakistan,Peru,Philippines,Spain,Sweden,Egypt,United States
Very happy,26.2,33,36,11.5,25.3,13.2,27.8,9.6,56.5,22.3,19.6,30.8,38.4,20.1,36.6,18.1,39
Quite happy,54.8,48.4,43.9,66.3,47.6,49,58.7,78.1,34.5,57.6,56,35.3,49.2,66.9,56.8,71.3,54
Not very happy,15.5,15.5,18.9,19,20.9,26.2,9.9,10.7,7.2,15.4,20.5,32.1,11.7,11,4.8,8.8,5.8
Not at all happy,2.7,2.4,0.6,2.8,4.5,10.4,0.6,1.7,1,4.5,2.6,1.6,0.6,1.4,1.5,1.6,0.5
No answer,0,0,0,0.4,0,0.3,0,0,0,0,0,0,0,0,0,0,0
Don´t know,0.7,0.7,0.6,0,1.7,0.9,3,0,0.8,0.1,1.3,0.2,0.1,0.6,0.3,0.2,0.7
(N),24.279,1.28,1.2,1,2.002,2.325,1.362,1.2,1.535,1.251,2,1.501,1.2,1.209,1.014,3,1.2
