category,total,Argentina,Chile,China,India,Iraq,Japan,South Korea,Mexico,Morocco,Pakistan,Peru,Philippines,Spain,Sweden,Egypt,United States
Very important,41,49.7,29.1,19.9,39.2,59.6,46.6,44.8,37.8,37.2,19.4,24.6,36.8,46.9,70.7,37.3,64.2
Rather important,40.4,30.4,41.5,61.9,38.3,31.9,45,50.7,38.3,33.1,44.2,32.6,51.4,45.2,26.9,46.3,31.5
Not very important,14.8,15.9,20.2,14.3,15.3,6.2,5.2,4.1,17.1,18,33.8,39.7,10.2,6.4,2.2,13.2,3.8
Not at all important,3.1,2.8,8.5,1.7,5.6,1.2,0.1,0.3,5.7,11.6,2.4,2.9,1.4,0.9,0.2,3.2,0.3
No answer,0.1,0,0,2,0,0.6,0,0,0,0,0,0,0,0,0,0,0
Don´t know,0.6,1.2,0.7,0.2,1.6,0.5,3,0.2,1.1,0.1,0,0.3,0.2,0.6,0,0.1,0.1
(N),24.279,1.28,1.2,1,2.002,2.325,1.362,1.2,1.535,1.251,2,1.501,1.2,1.209,1.014,3,1.2
