category,total,Argentina,Australia,Brazil,Chile,China,Taiwan,Germany,Hong Kong,India,Iraq,Japan,South Korea,Mexico,Morocco,Netherlands,New Zealand,Peru,Poland,Romania,Spain,Sweden,Thailand,Egypt,United Kingdom,Uruguay
Very important,58.6,70.4,34.5,65.3,62.3,43.7,62.7,49.6,26.1,67.9,82.2,47.4,61.9,84.9,85.6,30.9,34.6,71.2,61,53.5,51.9,53.2,57,63.1,35.5,69.4
Rather important,29.9,25.7,45.4,33.4,28.4,41.8,27.3,30.2,56.2,25,11.5,37.5,29.1,12.6,11.2,45.7,47.7,23.5,25.9,34.9,35.8,38.7,34.4,21.8,35.3,22.6
Not very important,6.5,2.2,8.4,0.9,5.7,7.5,6.2,10.2,14.3,3.9,2.8,9.9,7.2,1.3,2,11,7.2,3.9,5.6,6.2,6.2,3.9,7,11.5,10.5,4
Not at all important,2.9,1.2,6.7,0.2,2.4,1.4,3.8,5.1,1.8,1.5,1.8,1.5,1.7,0.6,0.9,6.9,4.3,0.8,5.6,2.8,5.5,3.8,0.9,3.6,9.7,1.9
Missing; Not asked by the interviewer,0.6,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,4.8,0,0,0,0,0.2,0,0,0,8.7,0
No answer,0.9,0.3,4.9,0.2,0.9,0.7,0,0.2,0,0,0.6,3.7,0,0.4,0.2,0.4,5.8,0.6,0,1.9,0.4,0.3,0.7,0,0.2,2.1
Don´t know,0.6,0.2,0,0,0.2,5,0,0.3,1.6,1.7,1.1,0,0,0.1,0,0.4,0.4,0,1.8,0.7,0.1,0,0,0,0.1,0
(N),36.324,1.002,1.421,1.5,1,1.991,1.227,2.064,1.252,2.001,2.701,1.096,1.2,1.56,1.2,1.05,954,1.5,1,1.776,1.2,1.003,1.534,3.051,1.041,1
