category,total,Argentina,Australia,Brazil,Chile,China,Taiwan,Germany,Hong Kong,India,Iraq,Japan,South Korea,Mexico,Morocco,Netherlands,New Zealand,Peru,Poland,Romania,Spain,Sweden,Thailand,Egypt,United Kingdom,Uruguay
Very important,32.2,40.1,44.8,27,47.2,11.4,34.4,29.7,23.6,23.6,31.2,40.3,24.1,54.9,23.7,55.6,48.2,32.3,29.8,26.1,43.5,53.6,25.9,13.3,45.4,42.4
Rather important,43.6,42.4,45.7,57.2,37.9,38.9,49.8,53.1,62.5,36.1,38.5,49.8,60.9,29.4,29.1,39.9,39.3,34.5,52.9,42.8,46.3,41.7,46.5,40.4,43.3,45.1
Not very important,18.1,14.6,6.9,12.8,11.9,39.5,14.6,13.8,12.7,24.2,18.4,6.6,13.8,12.7,28.5,4,8.1,27.1,13.5,22.5,8.9,4.5,24.5,35.1,9.7,8.7
Not at all important,4.2,1.8,0.3,2.5,2.2,3.7,1.3,2.4,0.3,12.6,7.5,0.5,1.2,2.1,15.8,0.3,0.7,4,1.7,4.9,1,0.3,2.5,11,0.5,2.7
Missing; Not asked by the interviewer,0.1,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0,0,0.8,0
No answer,0.9,0.6,2.2,0.4,0.5,0.8,0,0.5,0,0,1.5,2.7,0.1,0.4,2.9,0,3.5,2.1,0,2.2,0,0,0.6,0.1,0.1,1.1
Don´t know,1,0.4,0,0.1,0.3,5.8,0,0.2,0.8,3.4,2.9,0,0,0.6,0,0.1,0.2,0,2.1,1.4,0.1,0,0,0.1,0.3,0
(N),36.324,1.002,1.421,1.5,1,1.991,1.227,2.064,1.252,2.001,2.701,1.096,1.2,1.56,1.2,1.05,954,1.5,1,1.776,1.2,1.003,1.534,3.051,1.041,1
