category,total,Argentina,Australia,Brazil,Chile,China,Taiwan,Colombia,Germany,India,Japan,South Korea,Mexico,New Zealand,Pakistan,Peru,Philippines,Poland,Romania,Spain,Sweden,United States,Uruguay
Very important,64.3,70.3,50.8,84,64.3,63.9,44.4,76.7,50.3,82.4,53.5,57.5,63.4,45,67.7,72.8,83,63.3,58.8,59.1,64.6,55.2,70.3
Rather important,28.1,26.4,35.4,15.2,27.8,27.3,45.8,22.4,36.3,14.8,34,33.6,28.2,40.6,24.7,22.8,14.7,30.4,34.6,30.6,29.2,30.5,24.5
Not very important,4.7,2.3,8.9,0.4,4.7,5.6,8.1,0.7,9.2,1.6,7.8,6,6,6,5.9,1.2,1.5,3.1,5.3,6.8,2.9,8.1,3
Not at all important,1.7,0.9,4,0.3,0.9,1,1.2,0.2,3.2,0.6,1.6,1.7,0.9,3,1,0.5,0.7,2.3,0.9,3.1,2.1,5.5,1.3
NA,0.2,0,0,0,0,0,0.1,0,0,0,0,0.2,0,4.9,0,0,0,0,0,0,0,0,0
DK,0.9,0,1,0.1,2.3,2.1,0.5,0,1,0.6,3.1,1,1.5,0.4,0.6,2.7,0.2,0.9,0.3,0.3,1.2,0.8,0.8
(N),29.923,1.079,2.048,1.143,1,1.5,780,2.996,2.026,2.04,1.054,1.249,1.51,1.201,733,1.211,1.2,1.153,1.239,1.211,1.009,1.542,1
