category,total,Argentina,Australia,Brazil,Chile,China,Taiwan,Colombia,Germany,India,Japan,South Korea,Mexico,New Zealand,Pakistan,Peru,Philippines,Poland,Romania,Spain,Sweden,United States,Uruguay
Very important,33.2,26.4,44.4,54.2,42,10.7,25.8,49.8,31.8,11.1,39.8,22.7,35.5,45,12.5,28.5,14.2,23,27,30.2,51.4,42.3,46.4
Rather important,43.3,49.3,44.4,36.7,43.6,43.9,51.8,35.6,54.9,24.9,49.1,62.8,36.5,43.5,26.5,38,41.4,54.9,45.4,52,43,45.7,41.3
Not very important,17.9,20,9.8,6.6,10.7,36.6,20.8,12.9,11.6,40.1,8.8,12.4,23,6.6,34,25.9,35.6,16.7,21.1,15.4,4.4,10.7,9
Not at all important,4.2,3.3,0.6,2.4,1.8,6,1,1.6,0.7,21.9,0.6,1.3,3.6,0.7,21.8,4.3,8.5,2.4,5.1,1.4,0.7,0.8,1.5
NA,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,4.2,0,0,0,0,0,0,0,0,0
DK,1.3,0.9,0.8,0.1,2,2.9,0.6,0.1,0.9,2,1.7,0.6,1.4,0.1,5.2,3.3,0.2,3,1.4,1,0.5,0.5,1.8
(N),29.923,1.079,2.048,1.143,1,1.5,780,2.996,2.026,2.04,1.054,1.249,1.51,1.201,733,1.211,1.2,1.153,1.239,1.211,1.009,1.542,1
