category,total,Argentina,Australia,Brazil,Chile,China,Taiwan,Colombia,Germany,India,Japan,South Korea,Mexico,New Zealand,Pakistan,Peru,Philippines,Poland,Romania,Spain,Sweden,United States,Uruguay
Very happy,29.6,28.8,42.8,22,27,22.7,29.7,47.1,17.9,29.9,32.5,11.9,31.5,32.8,27.9,28.2,40.2,18.3,5.1,18.7,39.2,46.3,20.6
Quite happy,53.3,52.8,51.5,60.9,52.7,60.9,60.9,37.2,62.6,46,56.5,76.9,38.1,61.5,51.2,34.7,52.2,67,51,67.8,54.7,47.5,58.8
Not very happy,14.5,14.9,4.4,14.9,19.2,14.1,7.3,14.7,15.3,19.8,8.9,10.1,26.3,4.3,16.9,35.1,6.3,11.5,35.2,12.2,4.1,5.3,17.6
Not at all happy,1.8,2.4,1,2.1,0.7,1.7,1.5,1,3,2.8,0.6,1,2.6,0.6,4,1.2,1.1,2.5,7.1,0.9,0.8,0.5,2.4
NA,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0
DK,0.7,1.1,0.3,0.1,0.4,0.6,0.3,0,1.2,1.5,1.4,0.1,1.5,0.1,0,0.8,0.1,0.7,1.6,0.3,1.2,0.4,0.6
(N),29.923,1.079,2.048,1.143,1,1.5,780,2.996,2.026,2.04,1.054,1.249,1.51,1.201,733,1.211,1.2,1.153,1.239,1.211,1.009,1.542,1
