category,total,Argentina,Australia,Brazil,Chile,China,Taiwan,Colombia,Germany,India,Japan,South Korea,Mexico,New Zealand,Pakistan,Peru,Philippines,Poland,Romania,Spain,Sweden,United States,Uruguay
Very important,86.7,86.6,90.2,92.6,88.8,76.5,77.7,84,78.4,90.8,89.8,90.1,74.3,92.6,80.8,87.4,95.8,89.7,88.6,81.8,90.2,95.2,91.3
Rather important,11.6,12.1,8,6.6,8.9,22,20.6,15.5,18.3,7.9,8.3,9.1,22.1,5.7,14.6,11.1,4,9.5,8.9,17.3,8.2,4,7.1
Not very important,1.2,1.3,1.4,0.7,1.1,1.2,0.9,0.4,2.6,0.9,0.7,0.4,3,0.7,3.7,1.2,0.1,0.2,2,0.5,1.4,0.6,1
Not at all important,0.2,0.1,0.4,0,0.1,0.1,0.4,0.1,0.5,0.1,0.2,0,0.3,0.1,0.6,0,0.1,0.2,0.2,0.3,0.2,0.1,0.5
NA,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0.8,0,0,0,0,0,0,0,0,0
DK,0.2,0,0,0.1,1.1,0.3,0.3,0,0.1,0.2,0.9,0.3,0.3,0.1,0.3,0.2,0,0.5,0.2,0.1,0,0,0.2
(N),29.923,1.079,2.048,1.143,1,1.5,780,2.996,2.026,2.04,1.054,1.249,1.51,1.201,733,1.211,1.2,1.153,1.239,1.211,1.009,1.542,1
