category,total,Argentina,Chile,China,India,Iraq,Japan,South Korea,Mexico,Morocco,Pakistan,Peru,Philippines,Spain,Sweden,Egypt,United States
Very important,91.6,90.2,96.4,60.2,91.9,97.3,91.3,89.6,96.6,93.4,92.6,82.4,98.6,85.4,89.4,96.4,95.3
Rather important,7.3,8.4,2.8,36.2,6,2.2,6.4,10,2.2,5.4,6.4,16.7,1.3,13.4,8.5,3.3,3.8
Not very important,0.7,1,0.5,2.7,1.2,0.1,0.7,0.4,0.8,0.7,1,0.7,0.1,0.9,1.8,0.2,0.4
Not at all important,0.1,0.3,0.3,0.1,0.1,0,0.1,0,0.2,0.3,0.2,0.1,0,0.2,0.2,0.1,0.4
No answer,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
Don´t know,0.2,0.1,0,0.8,0.7,0.1,1.5,0,0.1,0.2,0,0.1,0,0.2,0.1,0,0.1
(N),24.279,1.28,1.2,1,2.002,2.325,1.362,1.2,1.535,1.251,2,1.501,1.2,1.209,1.014,3,1.2
