category,total,Argentina,Chile,China,India,Iraq,Japan,South Korea,Mexico,Morocco,Pakistan,Peru,Philippines,Spain,Sweden,Egypt,United States
Very important,15,8.9,9.1,15.1,17.9,25.4,20.3,15,17.9,10.9,5.2,20.6,21.9,7.3,11.4,12.6,15.7
Rather important,27.6,14.9,21,47.7,19.7,27.4,42.4,36.3,27.4,14.2,8.4,23.1,33.1,16.7,43.4,36.1,41
Not very important,29.4,29.6,25.6,26.6,26.7,24,25.1,38.8,26.3,19.1,39.6,36.6,30,39.6,37.1,22.5,35.1
Not at all important,25.2,46.1,42,3.5,29,19.2,4,9.8,26.8,52.4,43.3,19,14.9,35.3,7.8,26.2,7.9
No answer,0.4,0,0,7,0,1.1,0,0,0,0,0,0,0,0,0,0,0
Don´t know,2.5,0.5,2.3,0.1,6.7,2.9,8.3,0.1,1.6,3.4,3.4,0.7,0.2,1,0.2,2.6,0.3
(N),24.279,1.28,1.2,1,2.002,2.325,1.362,1.2,1.535,1.251,2,1.501,1.2,1.209,1.014,3,1.2
