category,total,Argentina,Chile,China,India,Iraq,Japan,South Korea,Mexico,Morocco,Pakistan,Peru,Philippines,Spain,Sweden,Egypt,United States
Very important,28.6,35.1,53.3,7.1,27.7,30.5,42.3,23.8,49.7,38.6,4.9,22.8,15.3,38.2,53.9,9.1,42.5
Rather important,39.5,41.7,34.4,41.7,33.6,34.2,46,60.9,32.4,35.1,30,28.4,41.5,48.5,39.6,45.5,48.2
Not very important,23.2,17.4,8.8,43.9,24.9,22,8.1,13.5,12.4,16.4,42.4,35.2,36.9,11.6,5.7,35.5,8.8
Not at all important,7,3.9,2.4,4.1,10.5,10,0.1,1.8,3.3,9.4,18.6,12.8,6.3,0.9,0.4,9.3,0.4
No answer,0.2,0,0,3.2,0,0.5,0,0,0,0,0,0,0,0,0,0,0
Don´t know,1.6,1.9,1.2,0,3.3,2.8,3.5,0,2.2,0.5,4.2,0.7,0,0.8,0.3,0.6,0.2
(N),24.279,1.28,1.2,1,2.002,2.325,1.362,1.2,1.535,1.251,2,1.501,1.2,1.209,1.014,3,1.2
