category,total,Argentina,Australia,Brazil,Chile,China,Taiwan,Germany,Hong Kong,India,Iraq,Japan,South Korea,Mexico,Morocco,Netherlands,New Zealand,Peru,Poland,Romania,Spain,Sweden,Thailand,Egypt,United Kingdom,Uruguay
Very important,44.2,59.4,57.6,37.1,23.6,30.3,39.5,52.4,33.1,42.3,59.7,44.9,44.5,36.1,52.2,57.6,54.9,21.9,34.7,24.1,49.3,71.3,33.1,43.2,68.8,51.5
Rather important,42.2,25.9,36.2,50.4,35.8,52.6,52.8,41.6,62.6,41.1,30.4,47.9,49.3,42.4,32.9,38.5,37.9,30.7,58,46.7,44.8,26.7,51.5,46.7,27.7,33
Not very important,10.9,11.8,4.7,10.4,29.4,12.7,7.4,5.2,3.9,11.5,6.3,5.3,6.1,17.1,11.3,3.5,4.1,43.4,6.6,22.6,5.1,1.9,14.7,8.3,2.8,10.8
Not at all important,1.8,2.3,0.1,1.8,10.4,0.5,0.3,0.3,0.1,2.8,1.7,0.2,0.1,3.9,3.4,0.3,0.4,3.3,0.4,4,0.6,0.1,0.7,1.8,0.6,4
Missing; Not asked by the interviewer,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
No answer,0.5,0.3,1.3,0.3,0.4,0.3,0,0.2,0,0,1.1,1.7,0,0.3,0.1,0,2.5,0.7,0,1.5,0,0,0.1,0.1,0,0.7
Don´t know,0.5,0.2,0,0.1,0.3,3.5,0,0.1,0.2,2.2,0.9,0,0,0.2,0,0,0.1,0,0.3,1.1,0,0,0,0,0,0
(N),36.324,1.002,1.421,1.5,1,1.991,1.227,2.064,1.252,2.001,2.701,1.096,1.2,1.56,1.2,1.05,954,1.5,1,1.776,1.2,1.003,1.534,3.051,1.041,1
