category,total,Argentina,Australia,Brazil,Chile,China,Taiwan,Germany,Hong Kong,India,Iraq,Japan,South Korea,Mexico,Morocco,Netherlands,New Zealand,Peru,Poland,Romania,Spain,Sweden,Thailand,Egypt,United Kingdom,Uruguay
Very important,13.3,8.4,9.6,14.6,5.6,13.3,6.7,9.4,3.7,14.4,35.5,19.7,17.7,19.7,10.3,7,6,11,5.2,4.1,7.6,15.5,31,9.1,9.2,12.2
Rather important,29,21.8,38.1,40,14.5,34.9,22.2,32.7,23.6,22.8,27.7,41.7,36.5,26.8,23,38.4,33.3,17,23.5,17.3,21.3,47.1,42.3,28.2,31,21.3
Not very important,33.4,32.7,40.6,26.1,32.3,28,45,40.1,62.9,31.2,17.9,27.6,34.3,27.3,28.8,36.4,44.8,39.8,42.4,39.6,43.1,29.3,21.8,27.3,39.2,29
Not at all important,21.3,36.1,9.6,18.5,45.8,5.6,26,17.2,8,25.2,14.8,3.6,11.4,24.1,31.4,16.7,11.4,30.3,27.4,36.3,27.6,8.1,4.4,35.2,20.3,36.5
Missing; Not asked by the interviewer,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0
No answer,1,0.3,2.2,0.7,1.5,0.4,0,0.2,0,0,0.5,7.4,0.1,0.6,6.4,0.7,3.5,1.9,0,1.7,0.1,0,0.6,0,0.2,1
Don´t know,1.9,0.7,0,0.2,0.3,17.8,0,0.2,1.8,6.3,3.6,0,0,1.4,0,0.7,1,0,1.5,1,0.2,0,0,0.1,0.1,0
(N),36.324,1.002,1.421,1.5,1,1.991,1.227,2.064,1.252,2.001,2.701,1.096,1.2,1.56,1.2,1.05,954,1.5,1,1.776,1.2,1.003,1.534,3.051,1.041,1
