category,total,Argentina,Australia,Brazil,Chile,China,Taiwan,Germany,Hong Kong,India,Iraq,Japan,South Korea,Mexico,Morocco,Netherlands,New Zealand,Peru,Poland,Romania,Spain,Sweden,Thailand,Egypt,United Kingdom,Uruguay
Very important,41.8,33.1,19.2,50.5,39.6,5,12.4,11,5.1,49.7,95.6,5.7,21.1,58.7,90.5,12,16.6,49.1,47.2,57,14.8,9.3,56,95.4,20.7,22.6
Rather important,21.7,31.6,19.4,40.4,33.3,11.2,39.3,22.2,22,28.3,3.3,11.6,25.8,26,7.9,18.2,17.7,26.5,38.5,32,24.1,19.9,37.7,4.1,19.4,23
Not very important,19.3,23.7,30.9,6.2,18.2,24.1,35.8,28.4,60.4,13.4,0.4,31.7,34.5,11.4,1.2,27.3,29.5,18.7,10.3,7,31,40.7,5.3,0.2,33.4,27.5
Not at all important,14.4,10.5,28.9,2.7,8.1,34.5,12.5,36.2,9.8,5.3,0.2,39.7,18.6,3.4,0.2,38.7,32.2,4.7,2.7,2.4,29.7,29.6,0.4,0.2,25,25.9
Missing; Not asked by the interviewer,0.2,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0.4,0
No answer,0.9,0.9,1.6,0.1,0.5,0.8,0,0.5,0,0,0.2,11.3,0,0.4,0.1,0.7,2.8,1,0,1.5,0.3,0.5,0.5,0,0.5,1
Don´t know,1.8,0.1,0,0,0.3,24.3,0,0.5,2.7,3.3,0.3,0,0,0.1,0,0.4,1.3,0,1.2,0.1,0.2,0,0,0,0.6,0
(N),36.324,1.002,1.421,1.5,1,1.991,1.227,2.064,1.252,2.001,2.701,1.096,1.2,1.56,1.2,1.05,954,1.5,1,1.776,1.2,1.003,1.534,3.051,1.041,1
